algoritmo,caracteres,bits_datos,bits_trama,overhead,tasa_error,errores_introducidos,resultado
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
hamming,4,32,38,0.1875,0.0,0,correcto
